a_priori_emotion,aggressive_intense,calm_relaxing,dark_tense,dreamy_atmospheric,energetic_electronic,happy_upbeat,romantic_warm,sad_melancholic
compassion,0.016666666666666666,0.6,0.06666666666666667,0.6,0.016666666666666666,0.35,0.4,0.6
disgust,0.25,0.13333333333333333,0.25,0.13333333333333333,0.25,0.13333333333333333,0.13333333333333333,0.18333333333333332
fascination,0.3333333333333333,0.5333333333333333,0.3333333333333333,0.6666666666666666,0.25,0.2,0.55,0.5333333333333333
fear,0.25,0.3333333333333333,0.45,0.3333333333333333,0.25,0.13333333333333333,0.3333333333333333,0.38333333333333336
joy,0.15,0.45,0.1,0.1,0.15,0.15,0.11666666666666667,0.1
no_emotion,0.0,0.5333333333333333,0.0,0.5333333333333333,0.0,0.43333333333333335,0.35,0.5333333333333333
sadness,0.05,0.6,0.25,0.5833333333333334,0.05,0.05,0.6,0.5833333333333334
satisfaction,0.3333333333333333,0.55,0.3333333333333333,0.55,0.43333333333333335,0.45,0.35,0.55
surprise,0.3,0.0,0.13333333333333333,0.3333333333333333,0.15,0.15,0.0,0.0
